Inits,Part,Answer,Image,Freq
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/8.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/29.jpg,h
RB,2,1,/Users/abardon/Desktop/cns186_images/phones/6.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/7.jpg,h
RB,2,1,/Users/abardon/Desktop/cns186_images/landscapes/19.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/18.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/5.jpg,h
RB,2,1,/Users/abardon/Desktop/cns186_images/animals/16.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/phones/27.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/buildings/10.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/space/22.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/25.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/9.jpg,h
RB,2,1,/Users/abardon/Desktop/cns186_images/landscapes/6.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/landscapes/23.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/4.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/17.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/space/18.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/30.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/buildings/11.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/landscapes/25.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/animals/9.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/28.jpg,h
RB,2,1,/Users/abardon/Desktop/cns186_images/space/6.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/animals/36.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/animals/37.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/animals/26.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/phones/13.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/landscapes/28.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/space/17.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/buildings/28.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/animals/10.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/space/1.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/buildings/6.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/landscapes/33.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/landscapes/20.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/buildings/38.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/space/16.jpg,l
RB,2,1,/Users/abardon/Desktop/cns186_images/animals/12.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/3.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/24.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/16.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/26.jpg,h
RB,2,1,/Users/abardon/Desktop/cns186_images/animals/42.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/phones/32.jpg,h
RB,2,0,/Users/abardon/Desktop/cns186_images/space/8.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/space/7.jpg,l
RB,2,0,/Users/abardon/Desktop/cns186_images/buildings/33.jpg,l
RB,4,1,/Users/abardon/Desktop/cns186_images/buildings/40.jpg,l
RB,4,6,/Users/abardon/Desktop/cns186_images/phones/27.jpg,h
RB,4,6,/Users/abardon/Desktop/cns186_images/space/7.jpg,l
RB,4,1,/Users/abardon/Desktop/cns186_images/landscapes/11.jpg,l
RB,4,1,/Users/abardon/Desktop/cns186_images/buildings/7.jpg,l
RB,4,1,/Users/abardon/Desktop/cns186_images/phones/7.jpg,h
RB,4,6,/Users/abardon/Desktop/cns186_images/animals/36.jpg,l
RB,4,6,/Users/abardon/Desktop/cns186_images/space/1.jpg,l
RB,4,1,/Users/abardon/Desktop/cns186_images/landscapes/18.jpg,l
RB,4,6,/Users/abardon/Desktop/cns186_images/space/18.jpg,l
RB,4,6,/Users/abardon/Desktop/cns186_images/buildings/33.jpg,l
RB,4,6,/Users/abardon/Desktop/cns186_images/phones/18.jpg,h
RB,4,1,/Users/abardon/Desktop/cns186_images/landscapes/29.jpg,l
